IRIS;REVDISMED;MEN_TOT_2019;MEN_1PERS_2019;FAM_TOT_2019;FAM_2ENF_2019;FAM_3ENF_2019;FAM_4ENFPLUS_2019;PART_FAM_2ENF_2019;ACCESS;logaccessstand;trv50stand;distancestand;CAH_4;immo_2017;immo_2018;immo_2019;immo_2020;immo_2021;immo_nb_annees;immo_moy;immo_ECTYPE;immo_ECTYPE/MOY;immo_qualite
012760000;26110;569,0697387;81,52538912;487,3474115;104,946686;44,70132037;4,93067791;27,1728028;210;-1,293673628;-0,157909981;0,258287227;2;2818;2804;3060;3127;3435;5;3048,8;259,1268029;0,084993047;oui
012850000;28340;459,6860559;77,1439521;372,3404329;101,6598782;25,31585183;10,07646398;30,49098002;2947;-0,300525439;0,590821891;0,194724544;2;2272;2795;2871;3189;3784;5;2982,2;556,2020316;0,186507287;oui
012900000;26260;568,2920599;175,7706796;387,0528901;101,9340153;9,811728648;9,294813394;21,50595032;2273;-0,39816471;0,284522489;1,190884862;2;3211;2231;2999;3516;2934;5;2978,2;475,4258091;0,159635286;oui
012970000;26580;320;55;265;60;25;0;26,5625;38;-1,93643325;0,148389421;0,739967004;1;2640;2580;2546;2834;2825;5;2685;136,1726845;0,050716084;oui
012990000;23660;214,9497657;48,22871581;171,7854254;41,23746217;10,12875096;0;23,34677801;45;-1,872862569;0,148389421;1,596607287;1;2967;2276;2048;2426;2485;5;2440,4;339,3041409;0,139036281;oui
013140000;23320;718,069345;201,5083976;506,2578433;131,5536018;28,33837671;4,5883048;23,23935134;226;-1,266065776;1,713919698;2,391603573;1;2007;1943;1937;2213;2506;5;2121,2;242,4998969;0,114322033;oui
013180000;27790;250;30;220;60;10;10;32;81;-1,651861801;1,543753364;0,623317148;1;1994;2697;2710;2332;3389;5;2624,4;519,6424732;0,198004296;oui
013220000;27390;1817,406168;359,7578288;1437,095268;355,1085246;108,9596873;19,60725114;26,9179191;2315;-0,391280691;0,692921691;0,341433696;2;2815;2831;3039;3052;3510;5;3049,4;280,5838556;0,092012808;oui
013250000;25590;405,7242052;74,92543696;319,7312479;66,3181631;19,59221459;4,702815478;22,96000464;57;-1,783983211;0,863088026;1,434693847;1;2073;2674;2156;2822;2992;5;2543,4;408,4333483;0,160585574;oui
013330000;25260;1408,552445;395,1189933;1008,253362;230,2075616;52,02994464;17,95659224;21,39090865;1191;-0,64116852;-0,089843447;0,459398701;2;2808;2719;3031;2759;3117;5;2886,8;176,4120177;0,061109886;oui
013350000;22860;135;20;115;20;20;5;33,33333333;37;-1,946460192;2,088285634;2,272259408;1;1663;1642,5;1622;2389;4156;4;2294,5;1089,755133;0,474942311;nope
013390000;31160;555,3722351;109,5101783;445,8620568;101,4840449;30,08401015;0;23,69006709;154;-1,410288177;0,352589022;0,556765191;1;3226;3047;2866;4276;4563;5;3595,6;769,5273225;0,214019169;oui
013420000;27910;208,003663;40,58608059;167,4175824;40,58608059;25,36630037;0;31,70731707;333;-1,120329988;0,658888424;0,581525022;1;3067;3067;2766;3636;3327;4;3172,6;326,4219662;0,102887842;oui
013470000;27750;795,5357143;152,2321429;643,3035714;132,5892857;54,01785714;9,821428571;24,69135802;3492;-0,236725178;1,271487229;0,575056536;1;2531;3272;3154;3127;3606;5;3138;389,1677016;0,124017751;oui
013490000;25260;200,7079415;28,93227665;177,0297519;32,42585781;5,25408704;0;18,29460756;45;-1,872862569;0,556788624;1,2813703;1;2788;1931;3256;3331;3203;5;2901,8;582,1930092;0,20063168;oui
013530000;26480;628,5412677;114,8608085;513,6804592;140,9131604;29,77375671;9,799314129;28,71509644;193;-1,32541354;1,305520496;0,610043027;1;2815;2426;2741;2840;3331;5;2830,6;324,9850766;0,114811374;oui
013560000;25290;84,59330144;19,90430622;59,71291866;19,90430622;4,976076555;0;31,25;208;-1,297271627;2,054252367;2,049963093;1;1699;2511;2287,5;2064;2246;4;2161,5;303,5535373;0,14043652;oui
013590000;24000;94,21276596;15,70212766;78,5106383;15,70212766;5,234042553;0;22,22222222;22;-2,141927157;1,101320894;1,916098275;1;2050;2393;2696;2084;2331;5;2310,8;262,20164;0,113467907;oui
013610000;27210;615;120;495;135;25;0;26,01626016;91;-1,608092899;0,48872209;1,199243584;1;2290;2484;2584;2621;3094;5;2614,6;297,1629183;0,113655212;oui
013620000;27390;289,5827907;48,94376572;235,804831;75,12506262;14,5025819;0;31,47606189;94;-1,595897623;1,237453962;0,6024135;1;2446;2605;2709;2560;3495;5;2763;419,9410673;0,151987357;oui
013660000;24220;394,5360895;64,50582486;330,0302647;95,45010357;26,39380341;5,254852677;32,214736;7368;0,044014451;0,897121293;1,755891061;2;2258;2030;2189;2145;3309;5;2386,2;522,4793776;0,218958753;oui
013710000;24640;498,1737649;121,5300799;371,4339575;97,3224739;22,11345695;3,456944336;24,9293794;1251;-0,622688729;0,012256353;0,696961113;2;2803;2497;2660;2917;3137;5;2802,8;244,2523285;0,087145829;oui
013760000;22630;1601,138518;505,2831201;1075,31455;237,5728627;117,0388436;28,74396348;24,25384252;5618;-0,057942445;0,04628962;-0,119143226;2;2416;2936;2715;2685;2933;5;2737;214,6194306;0,078414114;oui
013780000;26740;1040,060969;216,6263606;813,2334637;186,7013474;55,07211889;14,90835164;24,92395682;270;-1,199182403;0,420655556;0,945362365;2;2614;2304;2663;3235;3615;5;2886,2;528,1284882;0,182984023;oui
