puissance_crete;surface;pente;pente_optimum;orientation;orientation_optimum;installateur;production_pvgis;lat;lon;postal_code
2625;19;40;37;-30;-11;Pi energies;2967;45.27;5.85;38190
2040;15;20;;-10;;"Watt &amp; Home";0;45.21;5.76;38700
2850;22;30;37;-10;-9;Solutions Soleil Energie;3242;45.26;5.86;38190
2940;21;30;;-10;;DGBATI ENR;0;45.58;5.19;38080
2880;22;20;36;-30;0;Solutions Soleil Energie;3253;45.64;4.76;69390
2940;23;25;31;45;-4;a2 energie;3032;45.06;5.65;38760
2940;24;20;34;40;14;ARTIS EN SOLAIRE;3083;45.36;4.28;42700
2940;23;20;;30;;a2 energie;0;45.29;5.89;38920
2700;25;20;36;-85;1;SOLARIS Energies solaires;2697;45.96;5.26;1500
3500;28;20;;-95;;Solutions Soleil Energie;0;45.83;4.97;1700
2940;18;20;;20;;ARTIS EN SOLAIRE;0;45.54;4.48;42320
2380;22;25;37;20;-9;Tenesol;2622;45.27;5.86;38190
2880;24;20;;Sud;;"Solha&iuml;c";0;45.87;4.90;1390
3000;24;30;;-40;0;LEPARGNEUR;2993;45.43;4.42;42100
2940;17;25;35;20;-1;SRCT Systemes Solaires;3196;45.39;4.27;42240
2960;21;20;36;85;-2;CHENEVIER TOITURE;2856;45.89;4.30;42114
3000;24;40;37;45;-4;SOL R ELEC;3264;45.33;5.47;38140
2800;20;25;;10;0;Pi energies;3146;45.34;5.55;38500
2928;22;20;36;-25;-2;AT;3247;45.56;4.27;42340
2940;18;15;;5;-1;ERDS;3396;45.84;4.62;69210
3000;16;20;37;-25;-1;a2 energie;3449;45.45;4.74;42410
2800;22;20;;Sud;;ENERCOS technologies;0;45.58;4.87;38200
2960;20;35;;-35;;WATT et HOME;0;45.13;5.58;38250
2970;23;20;37;-65;-1;delta sud/www.energie-rhone.fr;3107;45.92;4.64;69620
2996;18;20;;80;;a2 energie;0;46.16;4.34;42670
2940;18;25;36;-15;0;123 Solaire;3449;45.68;4.85;69190
2996;18;20;37;5;1;INTI PRO CONCEPT;3501;45.75;5.06;69330
2795;24;25;36;-40;-5;a2 energie;3168;45.80;4.88;69140
2940;18;25;36;55;-1;Dimension Energie;3103;45.49;4.27;42170
2940;21;30;;-180;;SOLELUX;0;46.24;5.96;1710
2400;22;30;37;-90;27;SOL R ELEC;1824;45.26;5.66;38340
1440;12;20;36;Sud;1;Pi energies;1660;45.61;5.21;38080
3060;24;30;33;40;-5;AQTB;3130;45.23;5.93;38190
2775;20;30;;45;-1;ELIOMAX;3309;45.65;4.94;69780
2940;18;25;36;Sud;1;SOLANE;3504;45.58;4.91;38200
2940;23;20;38;-55;-16;a2 energie;3108;45.29;5.89;38920
2970;22;30;36;40;2;KBE Solaire;3380;45.31;5.64;38340
2970;25;20;36;55;1;lpg;3220;45.78;5.20;1360
2940;30;30;37;-45;3;SIAME;3293;45.22;5.68;38120
2940;22;40;35;Sud;-2;S comme solaire;2989;45.34;5.97;38570
2940;18;20;;-60;-2;ARTIS EN SOLAIRE;3249;45.64;4.04;42600
2100;13;20;;45;-1;123 Solaire;2431;45.75;4.87;69003
2975;23;20;36;80;16;solaris energie solaire;3034;45.84;5.43;1150
2940;23;20;36;-50;-2;ARTIS EN SOLAIRE;3304;45.49;4.92;38200
1708;21;15;;-90;;genie confort /domatherm;0;45.42;4.32;42230
3000;24;20;;Sud;-1;rmatech energies;3664;45.39;5.43;38690
2400;21;40;;-10;;SUBSUN;0;45.39;4.27;42700
2960;21;20;;-10;;LEPARGNEUR;0;45.62;4.21;42210
2850;22;20;37;-30;-1;123 Solaire;3231;45.77;4.70;69280
2940;21;35;34;-70;-9;a2 energie;2762;45.25;5.93;38190
2400;23;30;36;Sud;2;Evasol;2770;46.31;5.16;1340
1860;16;30;;5;;SWEETAIR ENERGIE;0;45.36;6.04;38830
2925;21;20;;70;-1;123 Solaire;2913;46.00;4.72;69400
2590;18;30;36;-30;2;Watt Home;2988;45.25;5.65;38120
3000;24;25;36;50;-2;ASOLTEC;3224;45.14;5.79;38320
2970;23;30;37;-5;-2;ets chataing;3387;46.08;3.98;42640
2640;15;30;;-20;;MADISUN;0;45.43;5.96;38660
2960;20;15;;-15;;"Watt &amp; Home";0;45.18;5.74;38100
2940;23;25;37;20;-10;a2 energie;3227;45.26;5.85;38190
2840;20;20;37;35;-1;ALVENA;3203;45.71;4.74;69630
2520;15;20;;10;-1;ERDS;2863;45.67;4.70;69510
2940;19;20;;-5;-5;*****;3626;45.40;4.66;42520
2800;21;20;37;55;-4;PHOTON TECHNOLOGIES;2902;45.23;5.82;38330
2940;24;20;36;85;-1;ARTIS EN SOLAIRE;2875;45.52;4.63;42800
3000;25;20;;-90;;LES TECHNICIENS DU SOLAIRE;0;45.57;4.70;69700
2940;23;25;;65;;PhotoCapt;0;45.86;4.91;1700
2940;24;20;35;30;-2;ARTIS EN SOLAIRE;3048;45.41;4.37;42100
2800;21;20;37;20;-2;BS AUTOMATION;3126;45.64;4.25;42210
2970;27;25;35;30;-3;"Soleil en T&ecirc;te";3367;45.25;5.24;38940
2940;18;25;;45;;Eco Alternatives;0;45.76;5.02;69330
2940;17;20;37;-10;0;"SES Solaire Energies Syst&egrave;mes";3450;45.51;4.84;69560
2940;20;20;37;-70;0;"SES Solaire Energies Syst&egrave;mes";3036;46.10;4.77;1090
3000;16;15;37;Sud;-1;a2 energie;3563;45.42;4.98;38122
3000;23;30;36;-90;3;Solar Electric;2928;45.49;4.87;38121
2940;21;15;;-35;0;SOLAIRE PRO;3207;45.58;4.79;38670
2100;16;35;37;20;0;Evasol;2457;45.96;4.78;1600
2940;23;30;36;5;-6;SPER;3315;45.67;3.90;42990
2520;20;30;36;Sud;2;BCH ENERGIE;2976;45.88;5.34;1150
2720;20;60;;-45;;SOLAIRO;0;45.85;5.58;1510
2940;20;30;36;20;0;"SES Solaire Energies Syst&egrave;mes";3425;45.69;5.43;38510
2800;20;15;;-95;-2;Pi energies;2854;45.26;5.85;38190
0;23;30;;-35;;OPTI ENERGIE;0;45.39;4.77;38550
2940;23;35;36;-15;-2;ERDS;3429;45.60;4.68;69440
2940;21;10;;-45;-1;ailatech;3109;45.42;5.43;38690
2400;20;35;;-10;;BCH ENERGIE;0;45.64;4.72;69440
3000;20;20;;-50;-1;ARTIS EN SOLAIRE;3495;45.89;5.17;1800
2880;20;20;36;-50;2;PCIM PV SOLUTIONS;3130;45.86;5.31;1150
2100;16;30;36;60;0;Evasol;2283;45.66;4.89;69960
2940;18;25;37;5;1;"SES Solaire Energies Syst&egrave;mes";3487;45.80;5.03;1120
2940;21;20;36;70;-1;PCIM PV SOLUTIONS;2986;45.49;4.28;42170
2996;23;10;36;-75;-1;ets Henri GRANGE;2952;46.01;4.10;42120
720;22;30;;-20;;s*****;0;45.74;4.69;69290
2625;19;20;37;-80;-9;Pi energies;2618;45.27;5.85;38190
3040;24;30;37;Sud;1;SADEJA SOLAIRE;3652;45.78;4.99;69330
2040;15;20;36;40;0;geoclim loire;2212;45.79;4.34;42360
2940;18;20;37;-20;2;123 Solaire;3402;45.74;4.97;69680
2940;18;20;37;-20;0;SOLAIRE PRO;3516;45.36;4.82;38150
2960;23;25;;20;-1;"Ka&iuml;latech";3345;45.59;5.29;38300
3000;16;30;36;45;-1;a2 energie;3323;45.11;5.73;38800
3000;16;25;;-65;;a2 energie;0;45.58;4.96;38200
2940;21;20;;10;-1;Air et Chaleur d aujourd hui;3319;45.74;4.02;42130
3010;24;20;;-20;-1;ARTIS EN SOLAIRE;3196;45.53;4.61;42800
2568;17;30;37;-45;-1;SOLANE;2879;45.54;4.67;69420
3000;24;25;36;15;1;Pi energies;3478;45.59;5.38;38300
2940;18;20;;-10;;MS SOLAIRE;0;46.15;4.10;42190
1850;13;20;;-15;0;"Ka&iuml;latech";2049;45.50;5.29;38300
2880;20;25;;45;;x;0;45.56;4.11;42610
0;24;60;;Sud;;AUCUN;0;45.75;4.90;69100
2970;25;30;;-45;-7;confidentiel;3380;45.25;5.82;38330
2940;19;25;33;-75;1;AQTB;2729;45.22;5.90;38190
2880;20;20;33;-80;-1;AIR SOLAIRE;2718;45.39;4.36;42150
2940;19;30;;20;;ENERCOS technologies;0;45.28;5.93;38190
2560;10;30;;45;;VERDEN;0;45.93;4.36;69170
2970;24;20;36;15;0;"Soleil en T&ecirc;te";3306;46.30;4.83;1750
2940;18;30;;-30;0;A l Eau Solaire;3279;45.64;5.19;38290
2968;23;30;36;Sud;0;ENERCOS technologies;3402;45.52;5.68;38480
2970;23;20;36;-80;-2;ARTIS EN SOLAIRE;2963;45.54;4.60;42800
2520;15;30;36;-90;-5;123 Solaire;2406;46.20;5.92;1630
3000;24;20;36;-175;-5;Fe Solar;2372;45.23;5.33;38470
2940;23;25;38;-45;-11;a2 energie;3201;45.28;5.88;38920
3000;22;20;37;Sud;-1;Tertiel villefranche;3394;45.98;4.53;69620
1920;18;35;37;-25;-4;AMITEL CLIM;2197;45.23;5.81;38330
2940;19;10;;-35;-1;SUNSET ENERGY;3236;45.61;5.33;38300
2940;18;20;36;-50;2;A l Eau Solaire;3198;45.64;5.19;38290
2940;18;20;36;85;-2;ARTIS EN SOLAIRE;2751;45.45;4.36;42000
2996;24;15;36;-90;-7;Evasol;3007;45.64;4.81;69390
2880;24;30;;Sud;-1;INTI PRO CONCEPT;3281;45.78;5.04;69330
3010;19;25;;-30;;SOLAIRE PRO;0;45.66;5.11;38070
2940;24;20;;75;;ARTIS EN SOLAIRE;0;45.53;4.61;42800
1600;12;30;36;-40;1;AQTB;1791;45.29;5.63;38340
2940;24;20;;-5;-1;http://www.solaire-energies.com;3567;45.56;5.43;38110
2940;25;20;35;10;-9;BS AUTOMATION;3215;45.74;3.92;42990
2990;21;20;37;10;-1;a2 energie;3388;45.85;4.68;69380
2970;23;30;37;Sud;3;Charpentiers de Chartreuse;3630;45.22;5.70;38950
2940;18;20;37;-10;1;123 Solaire;3433;45.92;4.95;1390
2960;27;25;36;-45;1;VMA ENVIRONNEMENT;3338;45.58;5.05;38790
2996;18;20;37;60;1;123 Solaire;3238;45.91;4.84;1600
2970;25;25;;-20;0;A l Eau Solaire;3337;45.46;5.31;38690
3000;25;20;36;45;2;INTI PRO CONCEPT;3343;45.91;5.19;1800
2700;20;30;37;-30;-3;Bio Sol Air Energie;3170;45.25;5.84;38330
2530;18;30;;75;;DELTASUD;0;45.97;4.82;1600
2940;18;20;;5;-12;a2 energie;3223;45.29;5.89;38920
1980;17;20;36;15;0;solaris energie solaire;2301;45.66;4.94;69780
2100;16;25;36;Sud;1;Energia;2442;45.55;5.45;38110
2925;22;30;37;-40;-3;ENERCOS technologies;3368;45.25;5.83;38330
2925;21;20;36;-10;1;LEPARGNEUR;3406;45.64;5.01;69780
2720;22;20;36;60;-1;Soleil Plus Energies Renouvelables;2834;45.51;4.60;42800
2960;21;20;36;35;3;SERPOLET BIDAUD;3429;45.47;5.06;38440
2940;21;25;;90;;PhotoCapt;0;45.87;4.70;69380
3000;24;30;35;-75;-9;http://www.asoltec.fr/;3111;45.06;5.67;38450
3000;29;40;;Sud;;NOVASOL;0;45.19;5.88;38420
2940;24;20;;30;-1;EKOTER;3200;45.17;5.36;38470
3000;24;30;;-35;-1;"Eco'logista - Soleil en t&ecirc;te";3397;45.74;5.73;1300
2940;21;25;;-25;-5;ALDER;3611;45.40;4.68;42410
2960;23;30;36;-60;0;R. LEPARGNEUR;3176;45.61;5.49;38110
2940;20;40;37;5;0;ATESOL;3494;45.68;4.75;69530
2990;20;20;36;-90;2;"Soleil en T&ecirc;te";2929;45.58;5.36;38300
2940;24;30;;Sud;0;VMA ENVIRONNEMENT;3436;45.29;5.24;38980
2940;18;20;36;20;0;ARTIS EN SOLAIRE;3430;45.51;4.90;38200
2990;21;20;37;-55;0;a2 energie;3219;45.99;4.77;1480
2800;21;25;36;-70;0;EDF ENR;2913;45.65;5.27;38460
23940;160;15;;20;0;JLS;25275;45.07;5.27;38680
1926;11;30;36;15;2;Solaire Le Vent;2202;45.52;4.37;42570
2940;20;15;36;-45;2;"SES Solaire Energies Syst&egrave;mes";3125;46.19;5.19;1000
2940;17;20;37;-20;-1;LEPARGNEUR;3361;45.75;4.74;69160
2200;20;25;;-60;;PLANETERE;0;45.74;4.22;42110
2760;20;20;37;-25;1;123 Solaire;3171;45.88;4.86;69250
3000;24;45;36;5;-16;SOL R ELEC;3467;45.10;5.66;38640
2100;17;25;;Sud;;SWEETAIR ENERGIE;0;45.27;5.89;38920
2880;23;40;36;-45;-1;Energia;3198;45.61;4.78;69390
3000;16;20;36;35;-5;a2 energie;3222;45.75;4.42;69930
2880;22;35;37;-40;-1;La maison du Confort Electrique - Henri;3275;45.77;4.70;69280
2960;20;20;36;Sud;2;CHENNEVIER TOITURE;3410;45.61;5.26;38300
2940;18;20;;40;;A l Eau Solaire;0;45.14;5.29;38160
5160;38;20;37;40;-2;FL Energie;5546;45.55;4.59;42800
2000;20;45;;Sud;;AMITEL CLIM;0;45.40;5.48;38140
2100;16;25;;90;;PHOTON TECHNOLOGIES;0;45.69;4.98;69800
2996;18;20;36;Sud;4;R. LEPARGNEUR;3419;45.56;4.71;69700
2996;25;25;36;30;1;LOGISUN;3370;45.80;4.62;69210
2800;21;20;36;45;-1;Hydelec Solar;3013;45.14;5.35;38160
2996;18;20;36;-70;-4;A l Eau Solaire;3071;46.09;4.64;69460
2940;23;20;;45;;Eco Energie Systemes;0;45.87;4.56;69490
2940;18;25;36;Sud;-1;Dimension Energie;3318;45.49;4.26;42170
2940;20;25;;-75;;"SES Solaire Energies Syst&egrave;mes";0;45.33;5.60;38500
2960;20;45;36;Sud;-14;Power Me;3267;45.27;5.44;38210
2880;24;20;37;60;1;"Solha&amp;iuml;c";3143;45.70;5.05;69720
3000;17;35;32;15;3;a2 energie;2853;45.39;6.08;38580
2970;23;25;;-10;;smartelec;0;45.42;5.97;38530
2880;21;30;;20;;AJF Solaire;0;45.08;5.67;38760
2996;18;20;;Sud;-1;A l Eau Solaire;3331;45.65;5.36;38890
2720;21;25;36;40;0;EDMI;2932;45.15;5.84;38410
2520;14;25;36;-45;1;A l Eau Solaire;2805;45.62;5.21;38080
768;20;30;;-50;;KOREAM;0;46.08;4.75;1090
2940;20;30;;-60;;"SES Solaire Energies Syst&egrave;mes";0;45.28;5.45;38210
2880;24;20;;Sud;;INTI PRO CONCEPT;0;45.83;5.21;1800
2940;23;30;36;Sud;0;CHENE CLIMATISATION;3524;45.55;5.00;38780
1680;15;30;;25;2;AQTB;2166;45.26;5.78;38700
2940;21;25;;-75;;"SES Solaire Energies Syst&egrave;mes";0;45.33;5.62;38500
2880;24;35;37;Sud;-3;solstice-concept;3381;45.55;4.11;42610
2520;25;25;;Sud;;123 Solaire;0;45.78;5.01;69330
2700;23;20;36;-20;2;solaris energie solaire;3143;45.52;5.04;38440
3010;18;20;37;20;0;123 Solaire;3441;45.63;4.79;69390
2880;24;20;;-70;-1;"Solha&iuml;c";2979;45.87;5.22;1800
2880;20;40;37;-45;0;airsolaire Brignais 69;3280;45.47;4.76;69420
2940;17;20;;-20;;LEPARGNEUR;0;45.87;5.14;1800
2996;18;25;;-60;-1;FL Energie;3260;45.54;4.59;42800
2960;21;35;;Sud;;L;0;45.43;6.03;38530
1900;18;20;37;15;0;123 Solaire;2192;45.75;4.78;69005
2520;20;30;;Sud;;VMA ENVIRONNEMENT;0;45.49;5.14;38440
2990;23;20;;35;;solaris energie solaire;0;45.97;4.33;69550
2940;23;15;;Sud;;123 SOLEIL;0;45.46;4.84;38121
2960;20;20;;-65;;"Ka&iuml;latech";0;45.35;5.93;38660
3000;22;35;;-20;-1;lumensol;3719;45.52;5.45;38110
2996;23;20;36;-40;-3;ARTIS EN SOLAIRE;3150;45.53;4.57;42800
2996;20;15;;Sud;;Energissimo;0;45.61;4.87;69360
3852;18;20;;-45;;solution soleil energie;0;46.25;5.58;1580
2700;20;30;36;-45;0;A l Eau Solaire;3042;45.63;4.80;69390
2960;20;25;;30;-1;Sunvoltaique;3361;45.64;5.55;38630
2960;22;60;;45;;LEPARGNEUR;0;45.49;4.35;42580
1400;8;30;;90;;IDEOSUN;0;45.32;5.56;38430
2940;17;20;35;80;1;NeOL;2802;45.14;5.84;38410
2996;18;20;37;45;0;"SES Solaire Energies Syst&egrave;mes";3301;45.99;4.76;1480
3000;25;20;36;Sud;-1;solaireco lyon 69007;3505;45.58;4.89;38200
3000;23;35;36;-45;-2;Au Soleil De France;3340;45.67;4.56;69850
2640;20;20;;75;;IDESKO;0;45.84;4.86;69270
17500;150;15;;-10;;MDA ENERGIE NOUVELLE;0;45.61;4.05;42600
2100;16;25;;Sud;;Electro Energie Diffusion;0;45.85;4.64;69380
2996;18;30;;10;-11;A l Eau Solaire;3848;44.91;5.64;38650
1980;17;5;;35;;Evasol;0;45.68;5.04;69720
2720;21;10;37;-45;1;LOGISUN;2936;45.82;5.05;1120
1926;12;20;37;Sud;0;123 Solaire;2231;45.69;4.81;69310
2940;23;25;37;-85;-8;a2 energie;2864;45.27;5.87;38920
3000;21;30;;90;;ENERGINEO;0;45.77;5.00;69330
1440;10;30;36;15;-8;INTINOVA;1610;45.84;4.50;69490
3220;24;20;35;30;-7;ARTIS EN SOLAIRE;3310;45.49;4.43;42290
2940;20;45;36;-5;0;"SES Solaire Energies Syst&amp;egrave;mes";3465;45.63;5.13;38070
2100;16;30;36;40;-2;EKOTER;2334;45.14;5.32;38160
2996;24;25;36;30;1;A l Eau Solaire;3460;45.73;5.15;38230
2800;21;20;;120;;ELIOMAX;0;45.80;5.36;38390
2880;21;20;36;Sud;0;SOLAR TOTAL;3240;46.26;4.85;1290
3000;16;20;37;40;1;"Solar D&eacute;veloppement";3370;45.90;4.83;1600
2940;23;25;36;70;1;ENERCOS technologies;3144;45.58;4.91;38200
3000;20;20;36;-45;2;DELTASUD;3292;45.94;5.32;1500
2940;22;25;;-10;;a2 energie;0;46.15;4.08;42720
3080;19;20;38;30;-20;ENERCOS technologies;3139;45.38;5.95;38660
2775;20;15;;15;;A L nrj sol air;0;45.49;4.89;38200
2940;23;20;;-55;;a2 energie;0;46.05;4.76;1480
3000;22;20;36;10;-2;ENERCOS technologies;3359;45.54;4.60;42800
3000;22;20;;70;;ENERCOS technologies;0;45.33;4.81;38150
2400;18;20;;Sud;;ENERCOS technologies;0;45.36;5.14;38260
3000;22;10;;Sud;;ENERCOS technologies;0;45.42;4.88;38150
2940;23;20;;35;;ENERCOS technologies;0;45.55;4.84;38200
2940;23;20;;Sud;1;ENERCOS technologies;3223;45.62;5.32;38300
2960;24;20;;85;;LEPARGNEUR;0;45.80;4.63;69210
3000;22;20;;70;;CPAE;0;45.44;5.41;38690
2960;20;30;;Sud;;SOLAR ELEC;0;45.21;5.76;38700
3000;25;15;;Sud;0;ARTIS EN SOLAIRE;3205;45.54;4.61;42800
2760;16;40;;-20;-1;"SES Solaire Energies Syst&egrave;mes";3117;45.57;5.44;38110
3000;17;35;;-30;;a2 energie;0;45.80;4.74;69570
2960;21;35;36;-65;4;ENODOM;3028;45.75;5.27;38460
3000;22;25;;70;;ENERCOS technologies;0;45.50;5.16;38440
2940;23;20;;25;;ENERCOS technologies;0;45.63;5.36;38890
2100;15;30;36;20;-1;EDF ENR;2437;45.71;5.34;38460
3000;25;35;35;-45;-2;eco systeme ( depot bilan );3294;45.55;5.35;38300
2940;21;25;;80;;"Solar D&eacute;veloppement";0;45.91;4.83;1600
3000;24;30;36;45;0;Solutions Soleil Energie;3334;45.55;5.53;38490
2996;18;20;37;Sud;2;"SES Solaire Energies Syst&egrave;mes";3465;45.91;5.18;1800
2940;20;15;;-50;;PCIM PV SOLUTIONS;0;45.53;4.92;38780
2720;20;35;36;-45;-7;VMA ENVIRONNEMENT;3010;45.48;5.56;38850
3000;25;40;37;-45;-2;Altibois / Naturelec;3268;46.24;5.99;1710
3000;20;30;37;Sud;-1;Avenir Elec;3544;45.67;4.68;69510
35000;290;15;;40;-1;CPAE;39780;45.36;5.49;38140
2992;22;20;;60;-1;REFLEX SOLAIRE;3204;45.58;4.80;38670
2870;21;30;;Sud;-5;ENERCOS technologies;3792;45.17;5.69;38180
2220;15;30;;Sud;;TENDANCES ECO HABITAT;0;46.05;5.15;1320
2800;20;20;;Sud;;"solaire energies syst&amp;amp;amp;amp;am";0;45.58;5.41;38110
2940;20;30;37;20;-7;LEPARGNEUR;3361;46.10;5.77;1200
3000;20;20;37;50;-2;DELTASUD;3193;46.14;4.64;69430
2568;16;30;36;10;1;A l Eau Solaire;3013;45.58;5.38;38300
2940;25;25;36;-5;0;123 Solaire;3404;46.10;4.81;1090
2430;18;40;;-20;;7 ENERGIES;0;45.94;5.31;1500
3000;25;25;;Sud;0;CPAE;3532;45.40;5.46;38140
2940;18;15;37;-10;-1;123 Solaire;3290;45.96;4.77;1600
3200;21;25;;85;;Energia;0;45.90;5.64;1260
2800;23;25;36;90;2;IDEOM;2768;45.59;4.84;69360
2800;24;30;;45;;SWEETAIR ENERGIE;0;45.46;5.98;38530
2940;23;20;37;60;0;123 Solaire;3189;45.79;4.92;69120
2940;18;30;36;-20;10;A l Eau Solaire;3332;45.85;5.44;1150
2996;18;20;36;-30;-3;THERMO CONCEPT FOREZIEN;3306;45.54;4.48;42320
3200;23;30;;Sud;;Sarl ARGOUD;0;45.49;4.76;69420
2820;20;35;36;45;2;a2 energie;3150;45.64;5.30;38300
3000;22;20;;70;;ENERCOS technologies;0;45.60;4.83;69360
2220;25;15;36;70;2;Suryana;2319;45.73;4.73;69340
2970;24;20;36;35;0;S comme solaire;3340;45.60;5.21;38080
2940;18;35;38;-45;-12;a2 energie;3230;45.31;5.91;38660
3040;22;20;;-20;-9;LOGISUN;3355;45.85;5.12;1360
2940;23;25;;30;-1;ENERCOS technologies;3415;45.51;5.13;38440
3000;22;20;36;100;1;ENERCOS technologies;2941;45.62;5.07;38540
2760;17;5;;Sud;;S comme solaire;0;45.58;5.05;38790
2820;20;25;;-30;1;A2Energy;3190;45.21;5.80;38240
7140;51;25;36;20;1;solaris energie solaire;8273;45.61;5.33;38300
2996;24;25;37;Sud;1;123 Solaire;3546;45.75;4.93;69120
2760;20;25;35;-60;-6;Thermi Service;2791;46.10;3.83;42310
2990;21;20;;-45;;SOLAIRE PRO;0;45.41;4.79;38550
2996;23;25;37;20;-15;a2 energie;3214;45.37;5.95;38660
2990;22;30;36;-20;-3;Solaire Le Vent;3261;45.46;4.35;42390
3000;22;25;;85;;ENERCOS technologies;0;45.51;4.95;38780
3000;22;20;;60;-1;ENERCOS technologies;3409;45.63;5.07;38540
3000;22;20;;10;;ENERCOS technologies;0;45.77;5.17;38230
2960;21;20;37;Sud;-1;tendance eco;3341;45.67;4.29;42210
3000;20;20;;10;-1;SADEJA SOLAIRE;3345;45.89;4.93;1390
2880;29;35;37;-90;1;http://www.solaireco.fr/;2742;45.72;5.00;69740
5400;23;20;;Sud;0;moulin;6373;45.52;4.36;42570
3000;25;30;;25;31;CPAE-38140 -Apprieu;2842;45.32;5.69;38340
2992;23;20;36;-90;-2;SPER;2877;45.70;4.30;42110
2960;20;35;;90;;AWE Climatisation;0;46.23;4.83;1290
3000;25;25;;-70;;Travo d Avenir;0;45.83;4.62;69210
2400;17;20;37;-35;0;Amisoler;2715;45.73;4.85;69008
2940;17;20;;-10;;"SES Solaire Energies Syst&egrave;mes";0;45.61;5.22;38080
2520;19;35;;65;;Amisoler;0;45.34;5.05;38270
3000;20;25;35;100;-1;DELTASUD;2591;45.45;4.50;42400
2996;18;20;37;-45;0;123 Solaire;3412;45.46;4.82;38121
3010;23;20;36;30;30;S comme solaire;3082;45.85;5.46;1470
2520;18;15;34;85;1;Electro Loire Energie;2374;45.39;4.36;42150
3000;20;20;37;-10;-1;DELTASUD;3450;45.65;4.77;69390
2996;18;20;;-60;0;A l Eau Solaire;3332;45.69;5.21;38460
2996;19;20;;-10;;A l Eau Solaire;0;45.60;5.22;38080
2880;28;35;;45;;GIRASOLE;0;45.87;4.70;69380
2160;16;20;;-40;;Electro Energie Diffusion;0;45.85;4.63;69380
2996;19;20;37;Sud;-1;A l Eau Solaire;3309;46.06;4.06;42300
2850;23;20;;60;-1;ACFER;3216;45.85;5.22;1150
3010;30;25;36;15;-5;"SES Solaire Energies Syst&egrave;mes";3336;45.38;5.62;38960
2100;16;30;35;-45;0;Evasol;2173;45.46;4.44;42650
2880;20;35;36;45;2;JEPAC 01 - Terre d'avenir;3229;45.81;5.28;1150
170;20;0;;-180;;fox;0;45.36;5.57;38500
2880;21;20;;25;;SOLAR TOTAL;0;45.77;4.43;69770
2996;23;15;37;-40;-9;AQTB;3389;45.16;5.68;38170
2990;21;20;37;45;2;DELTASUD;3347;45.90;5.16;1800
3000;16;30;;-5;0;a2 energie;3628;45.11;5.75;38560
2940;21;25;36;-10;-2;"Solaire Energie Syst&amp;amp;egrave;mes";3305;45.37;5.62;38960
5400;41;30;37;-45;2;soleil.energie.sarl;5950;45.76;5.77;1300
2960;21;30;35;5;-5;ECOMOTIVE;3476;45.55;4.80;69700
2520;28;20;37;-50;1;EMBIO SUN;2787;45.79;5.04;69330
3000;25;35;;65;;"Soleil en T&ecirc;te";0;46.26;5.36;1370
2880;20;35;37;-85;-9;a2 energie;2749;45.26;5.86;38190
2100;20;25;37;20;-3;SWEETAIR ENERGIE;2387;45.30;5.49;38210
2250;17;30;36;Sud;-2;Evasol;2591;45.55;4.28;42340
2800;22;20;35;20;0;Evasol;3034;45.40;4.26;42240
2996;18;20;;80;;123 Solaire;0;45.92;4.71;69480
2400;24;30;;15;;NOVASOL;0;45.08;5.69;38760
2996;18;35;37;-75;1;PHOTON ENERGIE;3039;45.74;5.14;38230
3000;23;25;;-5;1;IPC;3367;45.95;5.32;1500
3000;18;30;36;-20;-2;a2 energie;3345;45.25;5.89;38190
2400;22;30;37;-5;-1;Evasol;2843;45.78;4.73;69260
2960;21;25;33;80;-3;NVL Energie;2880;45.46;4.65;42410
3010;24;20;37;-30;-1;"abc &eacute;nergie solaire";3365;45.85;4.67;69380
2960;20;30;;30;;sep;0;45.38;4.77;38550
3000;23;25;36;Sud;1;CPAE;3563;45.61;5.09;38090
2996;17;25;36;-45;-3;sol air confort;3131;45.45;4.36;42000
2940;23;20;37;90;1;ENERCOS technologies;2955;45.76;4.96;69150
2996;18;20;37;-15;-1;TOUT EN SOLEIL;3428;45.81;4.72;69890
2940;20;30;36;Sud;1;"solaire &amp;amp;eacute;nergies syst&amp";3454;45.59;5.39;38300
2940;24;30;35;5;-2;solaire enregies systeme;3432;45.59;5.37;38300
2960;22;25;;-90;;LEPARGNEUR;0;45.33;4.39;42660
2760;21;15;34;Sud;3;"Soleil en T&ecirc;te";3076;45.58;5.26;38300
2720;21;25;37;-50;-1;GIORDANO;3029;45.22;5.79;38330
3000;16;25;36;40;-1;a2 energie;3282;45.79;4.33;42360
2450;23;20;37;-10;0;123 Solaire;2844;45.75;4.91;69100
3000;16;35;37;35;-2;Planete Plus;3440;46.32;6.07;1170
2800;20;25;36;Sud;1;VERDEN;3300;45.63;5.10;38070
2760;21;20;;80;;solelux toiture;0;45.99;5.16;1320
2520;19;5;;5;;fauche centre est;0;45.52;4.21;42160
2220;17;30;;-45;-2;R CONFORT;2543;45.32;5.93;38660
3000;25;25;;Sud;0;CPAE;3526;45.39;5.50;38140
3000;22;20;37;-5;-2;SRCT Systemes Solaires;3450;45.39;5.43;38690
1980;15;30;;40;0;Pi energies;2169;45.35;5.52;38140
2996;23;20;37;30;-15;a2 energie;3131;45.29;5.89;38920
3150;18;25;36;45;0;a2 energie;3290;45.35;5.65;38134
2996;23;20;37;-75;-15;a2 energie;3026;45.29;5.89;38920
2380;8;45;37;Sud;-1;toto;2822;45.77;4.70;69280
