puissance_crete;surface;pente;pente_optimum;orientation;orientation_optimum;installateur;production_pvgis;lat;lon;postal_code
8930;40;20;36;-135;1;Groupe CER;7710;45.45;5.37;38690
2996;23;20;36;5;1;ENERCOS technologies;3523;45.55;5.07;38790
2775;15;35;34;15;-2;Power Me;2958;45.22;5.89;38190
2960;22;45;;85;;Evasol;0;45.49;4.23;42170
3000;22;30;;-15;0;AR VIGELEC;3832;45.21;5.75;38700
2880;25;25;;-45;;LES TECHNICIENS DU SOLAIRE;0;45.37;4.50;42660
2968;20;40;37;Sud;-6;"SES Solaire Energies Syst&egrave;mes";3614;45.18;5.69;38170
2000;15;45;;90;;Eco Alternatives;0;45.33;5.27;38870
2880;22;20;36;Sud;1;ALVENA;3378;45.61;4.92;69970
3000;20;20;37;Sud;0;Home Concept;3499;45.67;4.94;69780
3000;20;20;;-70;;ECOMOTIV;0;45.49;4.81;69420
2960;21;45;;Sud;;CERDF Beaumont;0;45.22;5.78;38240
2880;21;20;37;15;1;IPC;3343;45.74;5.14;38230
1875;15;20;33;-15;-16;EPB Solaire;2052;45.57;5.27;38300
3000;21;40;;-45;;Charpentes Contemporaines;0;45.26;5.86;38190
3000;21;20;;-30;-1;123 Solaire;3630;45.56;5.02;38780
2100;15;25;;-45;;VERDEN;0;45.61;5.27;38300
3000;22;25;36;45;-1;SRCT Systemes Solaires;3222;45.99;4.17;42630
2960;20;20;;80;;eco pano;0;45.80;4.62;69210
3000;24;55;;-30;;HCE;0;45.39;4.37;42150
2940;23;30;35;-20;13;CALEA Energies Renouvelables;3227;44.90;5.94;38740
3010;21;30;36;45;1;"Soleil en T&ecirc;te";3385;45.72;5.21;38460
1100;15;15;;60;0;SOL R ELEC;1242;45.22;5.79;38330
2992;23;40;37;120;0;S comme solaire;2360;45.42;4.82;38550
3000;16;30;35;Sud;2;"SES Solaire Energies Syst&egrave;mes";3493;45.54;5.41;38110
2800;21;30;36;Sud;0;erdf-enr;3346;45.66;4.93;69780
2100;24;50;;Sud;-6;SUNNCO;2301;46.04;5.31;1160
3000;23;30;;-90;;ALPSOLEIL;0;45.79;5.69;1300
2880;21;25;;-60;;Actusolis;0;45.62;4.67;69440
2940;23;30;37;-65;-1;Solaire Direct;3080;45.84;4.64;69210
2835;23;25;37;20;-10;KBE Solaire;3333;45.16;5.68;38170
1320;12;35;37;Sud;1;Maintenance Habitat;1594;45.70;4.93;69800
2640;18;20;37;-45;0;Fe Solar;2914;45.67;4.78;69230
2996;22;20;;Sud;-1;GENELEC MORIN;3634;45.58;5.26;38300
2560;21;30;36;30;-13;Goncelinoise de toiture;2923;45.20;5.67;38360
2800;23;40;;-35;-21;Energia;3269;45.25;5.59;38360
2590;23;20;36;50;-1;Biosystem;2719;46.00;4.12;42120
3010;14;20;37;-35;0;via solar;3361;45.97;4.79;1600
2800;21;40;36;45;14;Eco Alternatives;3057;46.11;5.32;1160
3680;24;30;36;110;-4;Solaire Direct;2973;45.29;5.49;38210
